x,y
0.110142722,0.768958737
0.269030054,0.776645179
0.227566486,0.584881318
0.323431341,0.615093381
0.106579686,0.800492568
0.312544754,0.646167156
0.167347463,0.551950145
0.134143062,0.685746533
0.159692614,0.641613573
0.375404516,0.706094617
0.234803739,0.728689362
0.180177291,0.52830747
0.235410407,0.758599317
0.393067124,0.810294278
0.258811474,0.553935867
0.172278837,0.661436476
0.224793901,0.522469368
0.270371612,0.748746056
0.266285135,0.726228029
0.233321329,0.730871668
0.196459635,0.725226018
0.199850431,0.630239411
0.073256587,0.701526528
0.225524221,0.643630912
0.187153106,0.820364534
0.214138001,0.566284194
0.042643182,0.564167425
0.15795485,0.573363556
0.069839912,0.612209805
0.205677469,0.554717968
0.150238302,0.536185012
0.267441556,0.686032081
0.253108532,0.796365242
0.289048946,0.820948803
0.269032578,0.797032319
0.205461291,0.715019916
0.302701352,0.724869442
0.004682697,0.762450692
0.17571434,0.632375721
0.297405724,0.803713851
0.273702469,0.54489787
0.113840505,0.670111547
0.355333682,0.48632487
0.29791973,0.675890846
0.145209439,0.727548038
0.282886473,0.564809353
0.056538462,0.709593646
0.149589278,0.617889329
0.15572094,0.789465307
-0.026393998,0.491354113
0.095762142,0.589133949
0.128180618,0.582547133
0.211997685,0.766996042
0.264854202,0.567345293
0.311655156,0.834167653
0.169510907,0.695831273
0.218761346,0.478344592
0.14892385,0.643199475
0.078057881,0.601329222
0.280970303,0.596532624
0.158221806,0.801917673
0.175016769,0.699184297
0.232788585,0.862844564
0.222476529,0.655828954
0.341472025,0.620977317
0.280886877,0.650188233
0.398097976,0.75922382
0.19582314,0.66784487
0.512978869,0.783990494
0.355327501,0.800369747
0.311758643,0.512473127
0.143791747,0.627676657
0.307147578,0.809344892
0.176326543,0.535037753
0.3012499,0.559717417
0.430952579,0.659069604
0.247268655,0.699180062
0.179313916,0.563275933
0.333111314,0.577056157
0.170488671,0.637287582
0.253661323,0.631954192
0.177648977,0.539263973
0.272463694,0.638241683
0.115456396,0.794226435
-0.028152477,0.564051754
0.340870487,0.61126534
0.308801272,0.756123384
0.232141588,0.666646099
0.205475291,0.625409216
0.316892542,0.704695828
0.224542711,0.674379938
0.207669973,0.580068248
0.267847847,0.644629278
0.362679507,0.695578246
0.1540672,0.650498897
0.111368901,0.695402352
0.227528005,0.625018581
0.132671233,0.669401648
0.162855223,0.626196981
0.058694466,0.70371063
0.05690347,0.618898015
0.354189259,0.599396321
0.1379772,0.588609452
0.173741838,0.688632801
0.274117876,0.6661538
0.070795705,0.856252342
0.275147163,0.71417586
0.24898903,0.697097778
0.209984571,0.777015161
0.185741966,0.630847624
0.082544155,0.523011741
0.219252733,0.77172019
0.383873346,0.727948922
0.123342952,0.699519605
0.276767952,0.690705151
0.199807412,0.768985951
0.202128226,0.6904979
0.194550949,0.584854623
0.22254353,0.61770124
0.235131711,0.601319561
0.125276378,0.757781759
0.293795848,0.665839089
0.245629892,0.683074515
0.313328109,0.73195238
0.202906787,0.578003491
0.217761785,0.730673978
0.216766242,0.747477636
0.236457516,0.549268083
0.13303898,0.745653541
0.080481501,0.771453041
0.080185464,0.886159692
0.208226212,0.77745925
0.210861905,0.769891555
0.307962733,0.821095936
0.086440974,0.57029651
0.461137636,0.511556865
0.246205593,0.635040056
0.434336937,0.72997001
0.165973089,0.639346849
0.425478293,0.605721913
0.11840835,0.615981454
0.369556046,0.699281646
0.164762969,0.678063863
0.182412542,0.653579745
0.341747513,0.710233417
0.279730752,0.620381768
0.174634534,0.663752575
0.23034316,0.693549393
0.183959141,0.754945054
0.222403506,0.54618787
0.361659869,0.805871347
0.138184705,0.582097207
0.171077196,0.769874175
0.070094054,0.714620477
0.250902625,0.556142047
0.314917728,0.748522492
0.167220882,0.576012597
0.146854985,0.679419352
0.046556406,0.748576211
0.216581405,0.629326783
0.31584341,0.574012739
0.301526373,0.718398421
0.199913024,0.702283566
0.120508513,0.713108588
0.229923619,0.713476887
0.174941036,0.702851014
0.34401266,0.609641906
0.410002384,0.791283605
0.220244777,0.589292724
0.319597562,0.647536672
0.287253929,0.596484806
0.335727666,0.648305428
0.275300331,0.684531528
0.092761699,0.774264336
0.115999936,0.609406644
0.282828355,0.701981539
0.198792453,0.585943262
0.254070066,0.691375072
0.303813294,0.59035996
0.350961331,0.625913093
0.31338192,0.791700314
0.15959977,0.763110731
0.163566761,0.531106567
0.320226256,0.737195038
0.262761393,0.631574511
0.185634572,0.454457863
0.242815915,0.727612227
0.392552296,0.763740901
0.284094856,0.541483172
0.338006553,0.551723441
0.210239354,0.539014548
0.117726358,0.786329178
0.330172781,0.452305321
0.135746274,0.624433819
0.32029197,0.696870172
0.156910907,0.570659241
0.166077752,0.761317109
0.218939287,0.928646796
0.235102661,0.565112368
0.316165787,0.665057566
0.724877937,0.021199697
0.861143526,0.000983991
0.732267266,0.149744919
0.504265976,0.148618375
0.796677086,-0.114681172
