x,y
0.16528374,0.516128839
0.390473466,0.659839796
0.196274579,0.687958696
0.390292684,0.433820097
0.141021829,0.712889853
0.110904314,0.736179994
0.23676747,0.789739165
0.265705794,0.69060072
0.383191048,0.742695031
0.299217074,0.644495767
0.381044917,0.736656162
0.197749944,0.692214975
0.3169029,0.883226475
0.329365409,0.735871572
0.470671128,0.496996934
0.227945295,0.622545497
0.138549702,0.829287523
0.35572848,0.72865755
0.227133076,0.83235239
0.363921182,0.694565492
0.047423133,0.804500255
0.311241206,0.613603052
0.276579257,0.560231964
0.249878548,0.536879092
0.172081372,0.728650214
-0.004493622,0.649488998
0.223474095,0.707052702
0.273733619,0.724873854
0.273091227,0.76007561
0.387480925,0.634489294
0.132706996,0.729402541
0.04186317,0.699521305
0.097243988,0.629479574
0.198453594,0.733811634
0.225379562,0.71560001
0.271513277,0.681346399
0.226720116,0.538825533
0.228376132,0.739664947
0.152485249,0.712872464
0.237534635,0.673115428
0.290701157,0.587373457
0.304064715,0.710797244
0.175963205,0.574858807
0.224841306,0.673059683
0.189032224,0.539964055
0.183951466,0.697286883
0.423611467,0.616690641
0.303802021,0.734767427
0.287266948,0.684583909
0.326247106,0.482036553
0.12461624,0.703284294
0.239947392,0.736624871
0.378129205,0.652593418
0.370759691,0.554938176
0.13172488,0.750739363
0.338122859,0.592618154
0.195020284,0.710794934
0.198596563,0.816097184
0.210659469,0.603426159
0.060957309,0.669927008
0.066626769,0.733200471
0.232731467,0.574387407
0.406199241,0.737396239
0.365101269,0.647811361
0.291758952,0.553442031
0.228483885,0.725350359
0.113198902,0.621754259
0.234083035,0.750026899
0.351429807,0.660053914
0.34260152,0.528592134
-0.004992758,0.68612041
0.164098547,0.673488958
0.38125219,0.654556287
0.105526384,0.684304075
0.259315428,0.613025842
0.455873958,0.697844953
0.208778847,0.796865855
0.20550497,0.637518176
0.013381123,0.70953106
0.144497459,0.773279329
0.270285727,0.763283279
0.1788322,0.802969638
0.258902569,0.6184333
0.304227192,0.573867306
0.199827642,0.696130577
0.192228191,0.616509449
0.282301846,0.735551324
0.32145947,0.87968516
0.160551414,0.778997396
0.272691609,0.669614998
0.10810775,0.608278946
0.275978724,0.727742489
0.241106803,0.716883669
0.396342,0.63979837
0.142063255,0.6104215
0.072140874,0.805216912
0.228562995,0.521745703
0.181256416,0.732424324
0.241818872,0.587669158
0.21562495,0.512227422
1.721442721,-0.137388098
1.810562452,0.366211926
1.536090468,0.060877918
1.749017593,0.28539304
1.561352235,0.201052059
1.679131656,0.01488864
1.707046664,0.015749676
1.719217848,0.151257949
1.638462134,0.150129749
1.668182459,0.060187399
1.819690974,0.124075309
1.526408617,0.118347581
1.5557039,0.113120976
1.661711189,-0.01956683
1.676326524,0.286936223
1.650813764,-0.048328683
1.738746807,0.023194561
1.584644371,0.117521964
1.793752161,0.233773714
1.844527992,0.102335878
1.834441369,0.173143672
1.803080693,0.30478883
1.758219859,0.134305474
1.769742811,0.070745396
1.765207883,-0.014647393
1.78580756,-0.053995993
1.561100989,0.21037255
1.718156766,-0.107948519
1.819517352,0.290045879
1.554955561,0.109103164
1.774917999,0.197303025
1.522846247,0.063800401
1.692080123,0.058158951
1.530303316,0.009290976
1.375163249,-0.018893919
1.685398499,0.064096658
1.764252065,0.138592492
1.718197365,0.099844227
1.916858757,0.109504561
1.677344925,0.136702475
1.640128326,0.134997485
1.819471129,0.169290627
1.778062842,0.115083584
1.649374007,0.034793153
1.856608005,-0.078739918
1.73529834,0.04892027
1.596783969,0.200882396
1.617342747,0.016067359
1.604118491,0.244232227
1.861095345,0.148670665
